X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
3674782.14055647,527649.19186464,119738,2150 CLAIBORNE SHELL,2150 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-606-3076,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"2150 CLAIBORNE SHELL, LLC",3674782.14069,527649.191615
3700715.35706264,517921.405874059,119739,4600 DE GAULLE LLC,4600 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,(504)428-4146,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,4600 GEN GAULLE LLC,3700715.35709,517921.405942
3692600.21712497,549635.428075805,119740,BIG EASY TRAVEL PLAZA,5000 OLD GENTILLY RD,STE:B,NEW ORLEANS,LA,70126,504-943-5000,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MALONEY SEPT LLC.,3692600.21705,549635.427987
3678011.81487139,538848.458179981,119741,BIRDIES ON BROAD,1233 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"BIRDIES ON BROAD,LLC",3678011.8148,538848.458121
3697320.45145088,520253.143008471,119742,BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,"EXXON GENERAL DEGAULLE, LLC",3697320.45155,520253.142776
3697169.7014243,525565.256728068,119743,BROTHER TEXACO,3501 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,504-361-3920,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MEHMOOD INC,3697169.70141,525565.256701
3691331.98803413,527855.937186062,119744,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,NEWTON BROTHERS INC,3691331.988,527855.937343
3671558.63355206,534909.761989146,119745,BROWN DERBY SUPERSTORE,3402 TULANE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,BROWN DERBY SUPERSTORE INC,3671558.63348,534909.761926
3676346.00521089,536816.545905232,119746,BROWON DERBY FUEL MART,617 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"OTTALLAH 4,INC",3676346.00501,536816.5458
3716983.3862063,562443.001870066,119747,BULLARD CHEVRON,5701 BULLARD AVE,,NEW ORLEANS,LA,70128,504-279-6013,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"BULLARD CHEVRON, INC",3716983.38597,562443.001631
3714425.70529805,565375.02618973,119748,BULLARD CHEVRON,7020 BULLARD AVE,,NEW ORLEANS,LA,70128,504-941-5148,"1142 - GASOLINE STATIONS, OTHER",TWO BROTHERS VENTURES LLC,3714425.70533,565375.02621
3675309.1506573,535276.497148067,119749,CANAL STORE #150,2701 CANAL ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,2701 CANAL STREET LLC,3675309.15048,535276.497158
3725700.88550355,559802.700064063,119750,CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES,"TRAN FAMILY VENTURES, LLC",3725700.88537,559802.700125
3715583.61079064,555746.69603698,119751,CHEF DISCOUNT MARKET,10833 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,901-271-2282,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"SHREE BAJRANG, LLC",3715583.61061,555746.696089
3699080.57982038,551994.204526231,119752,CHEF EXPRESS,6601 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,CHEF EXPRESS.LLC,3699080.57975,551994.204438
3709790.6250013,553757.983150899,119753,CHEF MENTEUR SHELL,9232 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-982-6291,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,WYNVIA FOUR INC,3709790.62475,553757.983319
3679930.89699122,527142.464531645,119754,CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.",3679930.89691,527142.464447
3668191.04350246,534912.625172392,119755,CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.",3668191.0434,534912.625286
3674769.03920472,541478.820373312,119756,CITY PARK SHELL,3494 ESPLANADE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,OTTALLAH 3 INC,3674769.03925,541478.8203
3671379.57715164,526074.821325734,119757,CLAIBORNE #165,4101 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,SOUTH CLAIBORNE OPERATIONS,3671379.5771,526074.821438
3681130.01040664,536579.2852249,119758,CLAIBORNE EXPRESS,1249 N CLAIBORNE AVE,,NEW ORLEANS,LA,70116,504-220-0005,"1142 - GASOLINE STATIONS, OTHER","MUNTHER, LLC",3681130.01032,536579.285319
3668219.71437688,535411.319056898,119759,COSTCO GASOLINE #1147,3800 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-483-9001,"1142 - GASOLINE STATIONS, OTHER",COSTCO WHOLESALE CORPORATION,3668219.71425,535411.318918
