X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
3715294.8403708,555685.816237479,18113,A.U.S. HARDWARE STORE,10715 CHEF MENTEUR HWY,STE 2,NEW ORLEANS,LA,70127,504-676-1691,1125 - HARDWARE STORES,APEX UNLIMITED SERVICES,3715294.84024,555685.816025
3680907.66767547,530296.154746562,18114,AMERICAN HERITAGE GROUP,201 ST CHARLES AVE,STE 2300,NEW ORLEANS,LA,70170,,"1140 - BUILDING MATERIAL DEALERS, OTHER",AMERICAN HERITAGE GROUP LLC,3680907.66773,530296.154625
3680907.66767547,530296.154746562,18115,"ARTEMIS BUSINESS SOLUTIONS, LLC",201 ST CHARLES AVE,2300,NEW ORLEANS,LA,70130,,"1140 - BUILDING MATERIAL DEALERS, OTHER","ARTEMIS BUSINESS SOLUTIONS, LLC",3680907.66773,530296.154625
3680907.66767547,530296.154746562,18116,BUILDER PROCUREMENT SERVICES,201 ST CHARLES AVE,STE #2300,NEW ORLEANS,LA,70170,,"1140 - BUILDING MATERIAL DEALERS, OTHER","BUILDER PROCUREMENT SERVICES,LLC",3680907.66773,530296.154625
3667970.15811747,517241.780592889,18117,CABINET BY DESIGN,5201 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-899-2300,"1140 - BUILDING MATERIAL DEALERS, OTHER","POCHE,BENNETTE M",3667970.15802,517241.780533
3675148.14179297,535148.342548728,18118,COLLINS LLC,2714 CANAL ST,312,NEW ORLEANS,LA,70119,,"1140 - BUILDING MATERIAL DEALERS, OTHER",COLLINS LLC,3675148.14158,535148.34247
3697326.97243522,551717.123715565,18119,D. L. SPACE,6101 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,"1140 - BUILDING MATERIAL DEALERS, OTHER","D L SPACE, INC",3697326.97226,551717.123733
3716880.01436581,551950.96215865,18120,DILLON BROTHERS READY MIX CONCRETE,11100 ALMONASTER AVE,,NEW ORLEANS,LA,70127,504-329-5896,"1140 - BUILDING MATERIAL DEALERS, OTHER","DILLION BROTHERS READY MIX CONCRETE, LLC",3716880.0142,551950.962134
3696196.36544447,553129.753436223,18121,EDDIES HARDWARE INC,4401 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-242-8352,1125 - HARDWARE STORES,"GIROIR, EDGAR M         GIROIR, EDGAR M",3696196.36515,553129.753367
3671040.54010005,532760.939843222,18122,FASTENAL COMPANY (NEW ORLEANS),4431  EUPHROSINE ST,STE B,NEW ORLEANS,LA,70125,507-313-7407,"1140 - BUILDING MATERIAL DEALERS, OTHER",FASTENAL COMPANY,3671040.54011,532760.939716
