X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
3676280.52338646,540562.56006673,1458092,1000 FIGS,3141 PONCE DE LEON ST,,NEW ORLEANS,LA,70119,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"THE SUNNY KITCHEN,LLC",3676280.52334,540562.560011
3661553.11780196,528800.688577399,1458093,14 PARISHES ON OAK,8227 OAK ST,,NEW ORLEANS,LA,70118,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"14 PARISHES ON OAK, LLC.",3661553.11789,528800.68864
3679696.82823363,525413.506375387,1458094,1415 CREOLE GARDENS,1415 PRYTANIA ST,,NEW ORLEANS,LA,70130,504-569-8700,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CREOLE GARDENS, LLC",3679696.82831,525413.506301
3674816.73399122,533599.120909646,1458095,2 LANE CAFE,2601 TULANE AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),2 LANE CAFE LLC,3674816.73384,533599.120901
3686255.6169533,534574.380113974,1458096,"2440 CHARTRES, INC",2440 CHARTRES ST,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),LITTLE HORN,3686255.61679,534574.380037
3684713.67777997,534294.460398227,1458097,30 90,520 FRENCHMEN ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),FRENCHMEN STREET ENTERTAINMENT LLC,3684713.67772,534294.460485
3660102.93238214,529810.156046644,1458098,504 NUTRITION LLC,1155 EAGLE ST,,NEW ORLEANS,LA,70118,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),504 NUTRITION LLC,3660102.93216,529810.155969
3682166.3357618,534290.971231982,1458099,700'S AMERICAN TOWNHOUSE,1012 N RAMPART ST,,NEW ORLEANS,LA,70116,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),700 BURGUNDY LLC,3682166.33576,534290.971333
3680844.23637189,540264.8034444,1458100,A TASTE OF SOUL EATERY LLC,2302  ST BERNARD AVE,,NEW ORLEANS,LA,70119,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),A TASTE OF SOUL EATERY LLC,3680844.2365,540264.803339
3682386.75297189,532046.980313137,1458101,ABBOTTS FROZEN CUSTARD,628 TOULOUSE ST,B,NEW ORLEANS,LA,70130,,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),AFNO1 LLC,3682386.75279,532046.980163
