X,Y,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
3703270.68495722,515726.661575899,467204,ARAMIX INC.,A & J'S MART,5163 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-394-4410,1101 - CONVENIENCE STORES
3683387.55740072,536056.503462061,467205,A & M FOOD STORE LLC,A & M FOOD STORE,1741 MCSHANE PL,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
3678691.81679222,530187.70942539,467206,"LISA & LIZ, CORP        NGUYEN, BA V",ADAMS FOOD STORE #3,3001 BIENVILLE ST,,NEW ORLEANS,LA,70119-5401,504-861-1120,1101 - CONVENIENCE STORES
3663407.03141697,527701.277718484,467207,B & N FOOD STORE INC,ADAMS STREET GROCERY,1309 ADAMS ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
3671592.26471838,529440.619712234,467208,"ZEYNA, LLC",AEREN'S SUPERMARKET,3911 WASHINGTON AVE,,NEW ORLEANS,LA,70125,504-302-9875,1106 - GROCERY (EXC CONVENIENCE) STORES
3702954.0382808,515940.774336651,467209,"ALG DISCOUNT, LLC",ALG DISCOUNT,5101 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,504-253-1254,1101 - CONVENIENCE STORES
3686600.10018823,528375.215018898,467210,"ALGIERS CENTRAL,INC",ALGIERS CENTRAL MARKET,840 TECHE ST,,NEW ORLEANS,LA,70114,504-366-3221,1106 - GROCERY (EXC CONVENIENCE) STORES
3697022.7214033,525580.099218056,467211,ALGIERS DISCOUNT FOOD STORE INC,ALGIERS DISCOUNT FOOD STORE,3549 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
3702954.0382808,515940.774336651,467212,ALGIERS FUEL DISCOUNT LLC,ALGIERS FUEL DISCOUNT LLC,5101 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,,1101 - CONVENIENCE STORES
3695846.05479339,526198.964450151,467213,"ALGIERS SUPERMARKET,LLC",ALGIERS SUPERMARKET,3141 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
3684535.53935672,533563.925770059,467214,ALTALIEH CONVENIENCE LLC,ALTALIEH CONVENIENCE,87 FRENCH MARKET PL,,NEW ORLEANS,LA,70116,504-339-8438,1101 - CONVENIENCE STORES
3678691.81679222,530187.70942539,467215,"HESS WAYNE B            ENGERON, DANIEL J",AMERICAN SEAFOOD INC,3034 HAVANA ST,,NEW ORLEANS,LA,70122,,0135 - FISH & SEAFOOD WHLSRS
3681270.00356497,531640.161572978,467216,ARNAUD'S FOOD COMPANY IN,ARNAUD'S FOOD COMPANY'S  INC,813 BIENVILLE ST,,NEW ORLEANS,LA,70112,504-523-5433,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
3671494.95356131,518881.357366234,467217,REDZONE MAGAZINE,AVENUE MART LLC,4237 MAGAZINE ST,,NEW ORLEANS,LA,70115,(504899-8579,1101 - CONVENIENCE STORES
3683162.43744414,535610.629025728,467218,THE ORANGE STORE,AYYAD RAMPART,1700 N RAMPART ST,,NEW ORLEANS,LA,70116,,1101 - CONVENIENCE STORES
3682006.9325373,521971.240622148,467219,"AZ EXPRESS,LLC",AZ EXPRESS,1667 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
3679603.08235814,521687.948865891,467220,JOSEPHINE FOOD STORE LLC,B & S FOOD STORE,842 JOSEPHINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
